"ROUTE","Route of Travel","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"0","All Routes","1990","1990","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"0","All Routes","1991","1991","TMA04C1","Visitors to Ireland","Thousand","2997"
"0","All Routes","1991","1991","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.1"
"0","All Routes","1991","1991","TMA04C3","Visits Abroad by Irish Residents","Thousand","1762"
"0","All Routes","1991","1991","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"0","All Routes","1992","1992","TMA04C1","Visitors to Ireland","Thousand","3128"
"0","All Routes","1992","1992","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.6"
"0","All Routes","1992","1992","TMA04C3","Visits Abroad by Irish Residents","Thousand","1966"
"0","All Routes","1992","1992","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"0","All Routes","1993","1993","TMA04C1","Visitors to Ireland","Thousand","3333"
"0","All Routes","1993","1993","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.2"
"0","All Routes","1993","1993","TMA04C3","Visits Abroad by Irish Residents","Thousand","2056"
"0","All Routes","1993","1993","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"0","All Routes","1994","1994","TMA04C1","Visitors to Ireland","Thousand","3681"
"0","All Routes","1994","1994","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9"
"0","All Routes","1994","1994","TMA04C3","Visits Abroad by Irish Residents","Thousand","2368"
"0","All Routes","1994","1994","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10"
"0","All Routes","1995","1995","TMA04C1","Visitors to Ireland","Thousand","4256"
"0","All Routes","1995","1995","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.7"
"0","All Routes","1995","1995","TMA04C3","Visits Abroad by Irish Residents","Thousand","2547"
"0","All Routes","1995","1995","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10"
"0","All Routes","1996","1996","TMA04C1","Visitors to Ireland","Thousand","4739"
"0","All Routes","1996","1996","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.9"
"0","All Routes","1996","1996","TMA04C3","Visits Abroad by Irish Residents","Thousand","2733"
"0","All Routes","1996","1996","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"0","All Routes","1997","1997","TMA04C1","Visitors to Ireland","Thousand","5164"
"0","All Routes","1997","1997","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.6"
"0","All Routes","1997","1997","TMA04C3","Visits Abroad by Irish Residents","Thousand","3053"
"0","All Routes","1997","1997","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"0","All Routes","1998","1998","TMA04C1","Visitors to Ireland","Thousand","5716"
"0","All Routes","1998","1998","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.1"
"0","All Routes","1998","1998","TMA04C3","Visits Abroad by Irish Residents","Thousand","3330"
"0","All Routes","1998","1998","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"0","All Routes","1999","1999","TMA04C1","Visitors to Ireland","Thousand","6068"
"0","All Routes","1999","1999","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.7"
"0","All Routes","1999","1999","TMA04C3","Visits Abroad by Irish Residents","Thousand","3576"
"0","All Routes","1999","1999","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.4"
"0","All Routes","2000","2000","TMA04C1","Visitors to Ireland","Thousand","6310"
"0","All Routes","2000","2000","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.6"
