"ROUTE","Route of Travel","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"02","Sea Cross Channel","1981","1981","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.4"
"02","Sea Cross Channel","1981","1981","TMA04C3","Visits Abroad by Irish Residents","Thousand","438"
"02","Sea Cross Channel","1981","1981","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.1"
"02","Sea Cross Channel","1982","1982","TMA04C1","Visitors to Ireland","Thousand","804"
"02","Sea Cross Channel","1982","1982","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.9"
"02","Sea Cross Channel","1982","1982","TMA04C3","Visits Abroad by Irish Residents","Thousand","496"
"02","Sea Cross Channel","1982","1982","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.7"
"02","Sea Cross Channel","1983","1983","TMA04C1","Visitors to Ireland","Thousand","859"
"02","Sea Cross Channel","1983","1983","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"02","Sea Cross Channel","1983","1983","TMA04C3","Visits Abroad by Irish Residents","Thousand","510"
"02","Sea Cross Channel","1983","1983","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"02","Sea Cross Channel","1984","1984","TMA04C1","Visitors to Ireland","Thousand","912"
"02","Sea Cross Channel","1984","1984","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.1"
"02","Sea Cross Channel","1984","1984","TMA04C3","Visits Abroad by Irish Residents","Thousand","502"
"02","Sea Cross Channel","1984","1984","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.2"
"02","Sea Cross Channel","1985","1985","TMA04C1","Visitors to Ireland","Thousand","896"
"02","Sea Cross Channel","1985","1985","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"02","Sea Cross Channel","1985","1985","TMA04C3","Visits Abroad by Irish Residents","Thousand","512"
"02","Sea Cross Channel","1985","1985","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.8"
"02","Sea Cross Channel","1986","1986","TMA04C1","Visitors to Ireland","Thousand","800"
"02","Sea Cross Channel","1986","1986","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.5"
"02","Sea Cross Channel","1986","1986","TMA04C3","Visits Abroad by Irish Residents","Thousand","494"
"02","Sea Cross Channel","1986","1986","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"02","Sea Cross Channel","1987","1987","TMA04C1","Visitors to Ireland","Thousand","787"
"02","Sea Cross Channel","1987","1987","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"02","Sea Cross Channel","1987","1987","TMA04C3","Visits Abroad by Irish Residents","Thousand","488"
"02","Sea Cross Channel","1987","1987","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.7"
"02","Sea Cross Channel","1988","1988","TMA04C1","Visitors to Ireland","Thousand","824"
"02","Sea Cross Channel","1988","1988","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10"
"02","Sea Cross Channel","1988","1988","TMA04C3","Visits Abroad by Irish Residents","Thousand","409"
"02","Sea Cross Channel","1988","1988","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.1"
"02","Sea Cross Channel","1989","1989","TMA04C1","Visitors to Ireland","Thousand","921"
"02","Sea Cross Channel","1989","1989","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.4"
"02","Sea Cross Channel","1989","1989","TMA04C3","Visits Abroad by Irish Residents","Thousand","411"
"02","Sea Cross Channel","1989","1989","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.2"
"02","Sea Cross Channel","1990","1990","TMA04C1","Visitors to Ireland","Thousand","1005"
"02","Sea Cross Channel","1990","1990","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"02","Sea Cross Channel","1990","1990","TMA04C3","Visits Abroad by Irish Residents","Thousand","408"
"02","Sea Cross Channel","1990","1990","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10"
"02","Sea Cross Channel","1991","1991","TMA04C1","Visitors to Ireland","Thousand","1060"
"02","Sea Cross Channel","1991","1991","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.4"
"02","Sea Cross Channel","1991","1991","TMA04C3","Visits Abroad by Irish Residents","Thousand","472"
"02","Sea Cross Channel","1991","1991","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.6"
"02","Sea Cross Channel","1992","1992","TMA04C1","Visitors to Ireland","Thousand","1063"
"02","Sea Cross Channel","1992","1992","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"02","Sea Cross Channel","1992","1992","TMA04C3","Visits Abroad by Irish Residents","Thousand","485"
"02","Sea Cross Channel","1992","1992","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.7"
"02","Sea Cross Channel","1993","1993","TMA04C1","Visitors to Ireland","Thousand","1170"
"02","Sea Cross Channel","1993","1993","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"02","Sea Cross Channel","1993","1993","TMA04C3","Visits Abroad by Irish Residents","Thousand","526"
"02","Sea Cross Channel","1993","1993","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.3"
"02","Sea Cross Channel","1994","1994","TMA04C1","Visitors to Ireland","Thousand","1225"
"02","Sea Cross Channel","1994","1994","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.3"
"02","Sea Cross Channel","1994","1994","TMA04C3","Visits Abroad by Irish Residents","Thousand","552"
"02","Sea Cross Channel","1994","1994","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.6"
"02","Sea Cross Channel","1995","1995","TMA04C1","Visitors to Ireland","Thousand","1394"
"02","Sea Cross Channel","1995","1995","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.9"
"02","Sea Cross Channel","1995","1995","TMA04C3","Visits Abroad by Irish Residents","Thousand","512"
"02","Sea Cross Channel","1995","1995","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.1"
"02","Sea Cross Channel","1996","1996","TMA04C1","Visitors to Ireland","Thousand","1477"
"02","Sea Cross Channel","1996","1996","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.4"
"02","Sea Cross Channel","1996","1996","TMA04C3","Visits Abroad by Irish Residents","Thousand","458"
"02","Sea Cross Channel","1996","1996","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.5"
"02","Sea Cross Channel","1997","1997","TMA04C1","Visitors to Ireland","Thousand","1635"
"02","Sea Cross Channel","1997","1997","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.2"
"02","Sea Cross Channel","1997","1997","TMA04C3","Visits Abroad by Irish Residents","Thousand","491"
"02","Sea Cross Channel","1997","1997","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","6.9"
"02","Sea Cross Channel","1998","1998","TMA04C1","Visitors to Ireland","Thousand","1753"
"02","Sea Cross Channel","1998","1998","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.9"
"02","Sea Cross Channel","1998","1998","TMA04C3","Visits Abroad by Irish Residents","Thousand","490"
"02","Sea Cross Channel","1998","1998","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","6.9"
"02","Sea Cross Channel","1999","1999","TMA04C1","Visitors to Ireland","Thousand","1677"
"02","Sea Cross Channel","1999","1999","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.9"
"02","Sea Cross Channel","1999","1999","TMA04C3","Visits Abroad by Irish Residents","Thousand","454"
"02","Sea Cross Channel","1999","1999","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","6.4"
"02","Sea Cross Channel","2000","2000","TMA04C1","Visitors to Ireland","Thousand","1518"
"02","Sea Cross Channel","2000","2000","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.7"
"02","Sea Cross Channel","2000","2000","TMA04C3","Visits Abroad by Irish Residents","Thousand","414"
"02","Sea Cross Channel","2000","2000","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","6.8"
"02","Sea Cross Channel","2001","2001","TMA04C1","Visitors to Ireland","Thousand","1313"
"02","Sea Cross Channel","2001","2001","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8"
"02","Sea Cross Channel","2001","2001","TMA04C3","Visits Abroad by Irish Residents","Thousand","439"
"02","Sea Cross Channel","2001","2001","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.4"
"02","Sea Cross Channel","2002","2002","TMA04C1","Visitors to Ireland","Thousand","1335"
"02","Sea Cross Channel","2002","2002","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.3"
"02","Sea Cross Channel","2002","2002","TMA04C3","Visits Abroad by Irish Residents","Thousand","413"
"02","Sea Cross Channel","2002","2002","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8"
"02","Sea Cross Channel","2003","2003","TMA04C1","Visitors to Ireland","Thousand","1262"
"02","Sea Cross Channel","2003","2003","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.9"
"02","Sea Cross Channel","2003","2003","TMA04C3","Visits Abroad by Irish Residents","Thousand","408"
"02","Sea Cross Channel","2003","2003","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.2"
"02","Sea Cross Channel","2004","2004","TMA04C1","Visitors to Ireland","Thousand","1192"
"02","Sea Cross Channel","2004","2004","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.7"
"02","Sea Cross Channel","2004","2004","TMA04C3","Visits Abroad by Irish Residents","Thousand","384"
"02","Sea Cross Channel","2004","2004","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"02","Sea Cross Channel","2005","2005","TMA04C1","Visitors to Ireland","Thousand","1085"
"02","Sea Cross Channel","2005","2005","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.2"
"02","Sea Cross Channel","2005","2005","TMA04C3","Visits Abroad by Irish Residents","Thousand","336"
"02","Sea Cross Channel","2005","2005","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","6.5"
"02","Sea Cross Channel","2006","2006","TMA04C1","Visitors to Ireland","Thousand","983"
"02","Sea Cross Channel","2006","2006","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.3"
"02","Sea Cross Channel","2006","2006","TMA04C3","Visits Abroad by Irish Residents","Thousand","341"
"02","Sea Cross Channel","2006","2006","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.1"
"02","Sea Cross Channel","2007","2007","TMA04C1","Visitors to Ireland","Thousand","1013"
"02","Sea Cross Channel","2007","2007","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.4"
"02","Sea Cross Channel","2007","2007","TMA04C3","Visits Abroad by Irish Residents","Thousand","333"
"02","Sea Cross Channel","2007","2007","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","6.5"
"02","Sea Cross Channel","2008","2008","TMA04C1","Visitors to Ireland","Thousand","890"
"02","Sea Cross Channel","2008","2008","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.7"
"02","Sea Cross Channel","2008","2008","TMA04C3","Visits Abroad by Irish Residents","Thousand","357"
"02","Sea Cross Channel","2008","2008","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.7"
"03","Continental Europe","1976","1976","TMA04C1","Visitors to Ireland","Thousand","123"
"03","Continental Europe","1976","1976","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","14.8"
"03","Continental Europe","1976","1976","TMA04C3","Visits Abroad by Irish Residents","Thousand","220"
"03","Continental Europe","1976","1976","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","12.5"
"03","Continental Europe","1977","1977","TMA04C1","Visitors to Ireland","Thousand","151"
"03","Continental Europe","1977","1977","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","14.1"
"03","Continental Europe","1977","1977","TMA04C3","Visits Abroad by Irish Residents","Thousand","228"
"03","Continental Europe","1977","1977","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","12.2"
"03","Continental Europe","1978","1978","TMA04C1","Visitors to Ireland","Thousand","178"
"03","Continental Europe","1978","1978","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","13.3"
"03","Continental Europe","1978","1978","TMA04C3","Visits Abroad by Irish Residents","Thousand","281"
"03","Continental Europe","1978","1978","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11"
"03","Continental Europe","1979","1979","TMA04C1","Visitors to Ireland","Thousand","199"
"03","Continental Europe","1979","1979","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.4"
"03","Continental Europe","1979","1979","TMA04C3","Visits Abroad by Irish Residents","Thousand","346"
"03","Continental Europe","1979","1979","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11.8"
"03","Continental Europe","1980","1980","TMA04C1","Visitors to Ireland","Thousand","191"
"03","Continental Europe","1980","1980","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.8"
"03","Continental Europe","1980","1980","TMA04C3","Visits Abroad by Irish Residents","Thousand","338"
"03","Continental Europe","1980","1980","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11.5"
"03","Continental Europe","1981","1981","TMA04C1","Visitors to Ireland","Thousand","215"
"03","Continental Europe","1981","1981","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.9"
"03","Continental Europe","1981","1981","TMA04C3","Visits Abroad by Irish Residents","Thousand","380"
"03","Continental Europe","1981","1981","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","13.4"
"03","Continental Europe","1982","1982","TMA04C1","Visitors to Ireland","Thousand","235"
"03","Continental Europe","1982","1982","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.1"
"03","Continental Europe","1982","1982","TMA04C3","Visits Abroad by Irish Residents","Thousand","401"
"03","Continental Europe","1982","1982","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11.7"
"03","Continental Europe","1983","1983","TMA04C1","Visitors to Ireland","Thousand","219"
"03","Continental Europe","1983","1983","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","13.2"
"03","Continental Europe","1983","1983","TMA04C3","Visits Abroad by Irish Residents","Thousand","379"
"03","Continental Europe","1983","1983","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11.3"
"03","Continental Europe","1984","1984","TMA04C1","Visitors to Ireland","Thousand","225"
"03","Continental Europe","1984","1984","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.6"
"03","Continental Europe","1984","1984","TMA04C3","Visits Abroad by Irish Residents","Thousand","362"
"03","Continental Europe","1984","1984","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","12.4"
"03","Continental Europe","1985","1985","TMA04C1","Visitors to Ireland","Thousand","252"
"03","Continental Europe","1985","1985","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.8"
"03","Continental Europe","1985","1985","TMA04C3","Visits Abroad by Irish Residents","Thousand","328"
"03","Continental Europe","1985","1985","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","12.1"
"03","Continental Europe","1986","1986","TMA04C1","Visitors to Ireland","Thousand","242"
"03","Continental Europe","1986","1986","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.7"
"03","Continental Europe","1986","1986","TMA04C3","Visits Abroad by Irish Residents","Thousand","349"
"03","Continental Europe","1986","1986","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","12.5"
"03","Continental Europe","1987","1987","TMA04C1","Visitors to Ireland","Thousand","272"
"03","Continental Europe","1987","1987","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"03","Continental Europe","1987","1987","TMA04C3","Visits Abroad by Irish Residents","Thousand","409"
"03","Continental Europe","1987","1987","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.9"
"03","Continental Europe","1988","1988","TMA04C1","Visitors to Ireland","Thousand","310"
"03","Continental Europe","1988","1988","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.2"
"03","Continental Europe","1988","1988","TMA04C3","Visits Abroad by Irish Residents","Thousand","483"
"03","Continental Europe","1988","1988","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10"
"03","Continental Europe","1989","1989","TMA04C1","Visitors to Ireland","Thousand","383"
"03","Continental Europe","1989","1989","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.5"
"03","Continental Europe","1989","1989","TMA04C3","Visits Abroad by Irish Residents","Thousand","475"
"03","Continental Europe","1989","1989","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.4"
"03","Continental Europe","1990","1990","TMA04C1","Visitors to Ireland","Thousand","497"
"03","Continental Europe","1990","1990","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.2"
"03","Continental Europe","1990","1990","TMA04C3","Visits Abroad by Irish Residents","Thousand","425"
"03","Continental Europe","1990","1990","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11.2"
"03","Continental Europe","1991","1991","TMA04C1","Visitors to Ireland","Thousand","569"
"03","Continental Europe","1991","1991","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.7"
"03","Continental Europe","1991","1991","TMA04C3","Visits Abroad by Irish Residents","Thousand","418"
"03","Continental Europe","1991","1991","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11"
"03","Continental Europe","1992","1992","TMA04C1","Visitors to Ireland","Thousand","599"
"03","Continental Europe","1992","1992","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"03","Continental Europe","1992","1992","TMA04C3","Visits Abroad by Irish Residents","Thousand","481"
"03","Continental Europe","1992","1992","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11.6"
"03","Continental Europe","1993","1993","TMA04C1","Visitors to Ireland","Thousand","653"
"03","Continental Europe","1993","1993","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.5"
"03","Continental Europe","1993","1993","TMA04C3","Visits Abroad by Irish Residents","Thousand","517"
"03","Continental Europe","1993","1993","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.9"
"03","Continental Europe","1994","1994","TMA04C1","Visitors to Ireland","Thousand","726"
"03","Continental Europe","1994","1994","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.5"
"03","Continental Europe","1994","1994","TMA04C3","Visits Abroad by Irish Residents","Thousand","589"
"03","Continental Europe","1994","1994","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11.5"
"03","Continental Europe","1995","1995","TMA04C1","Visitors to Ireland","Thousand","785"
"03","Continental Europe","1995","1995","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.2"
"03","Continental Europe","1995","1995","TMA04C3","Visits Abroad by Irish Residents","Thousand","689"
"03","Continental Europe","1995","1995","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11.3"
"03","Continental Europe","1996","1996","TMA04C1","Visitors to Ireland","Thousand","868"
"03","Continental Europe","1996","1996","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.6"
"03","Continental Europe","1996","1996","TMA04C3","Visits Abroad by Irish Residents","Thousand","725"
"03","Continental Europe","1996","1996","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.9"
"03","Continental Europe","1997","1997","TMA04C1","Visitors to Ireland","Thousand","885"
"03","Continental Europe","1997","1997","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11"
"03","Continental Europe","1997","1997","TMA04C3","Visits Abroad by Irish Residents","Thousand","830"
"03","Continental Europe","1997","1997","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"03","Continental Europe","1998","1998","TMA04C1","Visitors to Ireland","Thousand","974"
"03","Continental Europe","1998","1998","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.4"
"03","Continental Europe","1998","1998","TMA04C3","Visits Abroad by Irish Residents","Thousand","1022"
"03","Continental Europe","1998","1998","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"03","Continental Europe","1999","1999","TMA04C1","Visitors to Ireland","Thousand","1065"
"03","Continental Europe","1999","1999","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.4"
"03","Continental Europe","1999","1999","TMA04C3","Visits Abroad by Irish Residents","Thousand","1276"
"03","Continental Europe","1999","1999","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.7"
"03","Continental Europe","2000","2000","TMA04C1","Visitors to Ireland","Thousand","1187"
"03","Continental Europe","2000","2000","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.7"
"03","Continental Europe","2000","2000","TMA04C3","Visits Abroad by Irish Residents","Thousand","1550"
"03","Continental Europe","2000","2000","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"03","Continental Europe","2001","2001","TMA04C1","Visitors to Ireland","Thousand","1170"
"03","Continental Europe","2001","2001","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.7"
"03","Continental Europe","2001","2001","TMA04C3","Visits Abroad by Irish Residents","Thousand","1864"
"03","Continental Europe","2001","2001","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.8"
"03","Continental Europe","2002","2002","TMA04C1","Visitors to Ireland","Thousand","1173"
"03","Continental Europe","2002","2002","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"03","Continental Europe","2002","2002","TMA04C3","Visits Abroad by Irish Residents","Thousand","2190"
"03","Continental Europe","2002","2002","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"03","Continental Europe","2003","2003","TMA04C1","Visitors to Ireland","Thousand","1287"
"03","Continental Europe","2003","2003","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.1"
"03","Continental Europe","2003","2003","TMA04C3","Visits Abroad by Irish Residents","Thousand","2438"
"03","Continental Europe","2003","2003","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9"
"03","Continental Europe","2004","2004","TMA04C1","Visitors to Ireland","Thousand","1408"
"03","Continental Europe","2004","2004","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.5"
"03","Continental Europe","2004","2004","TMA04C3","Visits Abroad by Irish Residents","Thousand","2735"
"03","Continental Europe","2004","2004","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8"
"03","Continental Europe","2005","2005","TMA04C1","Visitors to Ireland","Thousand","1705"
"03","Continental Europe","2005","2005","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.5"
"03","Continental Europe","2005","2005","TMA04C3","Visits Abroad by Irish Residents","Thousand","3205"
"03","Continental Europe","2005","2005","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.3"
"03","Continental Europe","2006","2006","TMA04C1","Visitors to Ireland","Thousand","2181"
"03","Continental Europe","2006","2006","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.1"
"03","Continental Europe","2006","2006","TMA04C3","Visits Abroad by Irish Residents","Thousand","3867"
"03","Continental Europe","2006","2006","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8"
"03","Continental Europe","2007","2007","TMA04C1","Visitors to Ireland","Thousand","2575"
"03","Continental Europe","2007","2007","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"03","Continental Europe","2007","2007","TMA04C3","Visits Abroad by Irish Residents","Thousand","4583"
"03","Continental Europe","2007","2007","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.8"
"03","Continental Europe","2008","2008","TMA04C1","Visitors to Ireland","Thousand","2656"
"03","Continental Europe","2008","2008","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.6"
"03","Continental Europe","2008","2008","TMA04C3","Visits Abroad by Irish Residents","Thousand","4533"
"03","Continental Europe","2008","2008","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"04","Transatlantic","1976","1976","TMA04C1","Visitors to Ireland","Thousand","159"
"04","Transatlantic","1976","1976","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","13.2"
"04","Transatlantic","1976","1976","TMA04C3","Visits Abroad by Irish Residents","Thousand","34"
"04","Transatlantic","1976","1976","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","29.5"
"04","Transatlantic","1977","1977","TMA04C1","Visitors to Ireland","Thousand","177"
"04","Transatlantic","1977","1977","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.6"
"04","Transatlantic","1977","1977","TMA04C3","Visits Abroad by Irish Residents","Thousand","38"
"04","Transatlantic","1977","1977","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","29.2"
"04","Transatlantic","1978","1978","TMA04C1","Visitors to Ireland","Thousand","179"
"04","Transatlantic","1978","1978","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.7"
"04","Transatlantic","1978","1978","TMA04C3","Visits Abroad by Irish Residents","Thousand","44"
"04","Transatlantic","1978","1978","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","23.8"
"04","Transatlantic","1979","1979","TMA04C1","Visitors to Ireland","Thousand","187"
"04","Transatlantic","1979","1979","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.7"
"04","Transatlantic","1979","1979","TMA04C3","Visits Abroad by Irish Residents","Thousand","61"
"04","Transatlantic","1979","1979","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","18"
"04","Transatlantic","1980","1980","TMA04C1","Visitors to Ireland","Thousand","150"
"04","Transatlantic","1980","1980","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","15.7"
"04","Transatlantic","1980","1980","TMA04C3","Visits Abroad by Irish Residents","Thousand","70"
"04","Transatlantic","1980","1980","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","21.5"
"04","Transatlantic","1981","1981","TMA04C1","Visitors to Ireland","Thousand","152"
"04","Transatlantic","1981","1981","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","14"
"04","Transatlantic","1981","1981","TMA04C3","Visits Abroad by Irish Residents","Thousand","83"
"04","Transatlantic","1981","1981","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","18.4"
"04","Transatlantic","1982","1982","TMA04C1","Visitors to Ireland","Thousand","181"
"04","Transatlantic","1982","1982","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.3"
"04","Transatlantic","1982","1982","TMA04C3","Visits Abroad by Irish Residents","Thousand","71"
"04","Transatlantic","1982","1982","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","21.8"
"04","Transatlantic","1983","1983","TMA04C1","Visitors to Ireland","Thousand","171"
"04","Transatlantic","1983","1983","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.6"
"04","Transatlantic","1983","1983","TMA04C3","Visits Abroad by Irish Residents","Thousand","54"
"04","Transatlantic","1983","1983","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","21"
"04","Transatlantic","1984","1984","TMA04C1","Visitors to Ireland","Thousand","186"
"04","Transatlantic","1984","1984","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.1"
"04","Transatlantic","1984","1984","TMA04C3","Visits Abroad by Irish Residents","Thousand","62"
"04","Transatlantic","1984","1984","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","20.1"
"04","Transatlantic","1985","1985","TMA04C1","Visitors to Ireland","Thousand","213"
"04","Transatlantic","1985","1985","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.6"
"04","Transatlantic","1985","1985","TMA04C3","Visits Abroad by Irish Residents","Thousand","54"
"04","Transatlantic","1985","1985","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","19.5"
"04","Transatlantic","1986","1986","TMA04C1","Visitors to Ireland","Thousand","193"
"04","Transatlantic","1986","1986","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.5"
"04","Transatlantic","1986","1986","TMA04C3","Visits Abroad by Irish Residents","Thousand","71"
