"ROUTE","Route of Travel","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"0","All Routes","19923","1992Q3","TMQ01C1","Visitors to Ireland","Thousand","1276"
"0","All Routes","19923","1992Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","733"
"0","All Routes","19924","1992Q4","TMQ01C1","Visitors to Ireland","Thousand","575"
"0","All Routes","19924","1992Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","388"
"0","All Routes","19931","1993Q1","TMQ01C1","Visitors to Ireland","Thousand","464"
"0","All Routes","19931","1993Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","339"
"0","All Routes","19932","1993Q2","TMQ01C1","Visitors to Ireland","Thousand","890"
"0","All Routes","19932","1993Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","529"
"0","All Routes","19933","1993Q3","TMQ01C1","Visitors to Ireland","Thousand","1335"
"0","All Routes","19933","1993Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","763"
"0","All Routes","19934","1993Q4","TMQ01C1","Visitors to Ireland","Thousand","643"
"0","All Routes","19934","1993Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","426"
"0","All Routes","19941","1994Q1","TMQ01C1","Visitors to Ireland","Thousand","527"
"0","All Routes","19941","1994Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","424"
"0","All Routes","19942","1994Q2","TMQ01C1","Visitors to Ireland","Thousand","974"
"0","All Routes","19942","1994Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","614"
"0","All Routes","19943","1994Q3","TMQ01C1","Visitors to Ireland","Thousand","1480"
"0","All Routes","19943","1994Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","838"
"0","All Routes","19944","1994Q4","TMQ01C1","Visitors to Ireland","Thousand","701"
"0","All Routes","19944","1994Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","492"
"0","All Routes","19951","1995Q1","TMQ01C1","Visitors to Ireland","Thousand","615"
"0","All Routes","19951","1995Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","423"
"0","All Routes","19952","1995Q2","TMQ01C1","Visitors to Ireland","Thousand","1118"
"0","All Routes","19952","1995Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","694"
"0","All Routes","19953","1995Q3","TMQ01C1","Visitors to Ireland","Thousand","1701"
"0","All Routes","19953","1995Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","884"
"0","All Routes","19954","1995Q4","TMQ01C1","Visitors to Ireland","Thousand","822"
"0","All Routes","19954","1995Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","546"
"0","All Routes","19961","1996Q1","TMQ01C1","Visitors to Ireland","Thousand","685"
"0","All Routes","19961","1996Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","518"
"0","All Routes","19962","1996Q2","TMQ01C1","Visitors to Ireland","Thousand","1317"
"0","All Routes","19962","1996Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","711"
"0","All Routes","19963","1996Q3","TMQ01C1","Visitors to Ireland","Thousand","1819"
"0","All Routes","19963","1996Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","929"
"0","All Routes","19964","1996Q4","TMQ01C1","Visitors to Ireland","Thousand","918"
"0","All Routes","19964","1996Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","575"
"0","All Routes","19971","1997Q1","TMQ01C1","Visitors to Ireland","Thousand","781"
"0","All Routes","19971","1997Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","581"
"0","All Routes","19972","1997Q2","TMQ01C1","Visitors to Ireland","Thousand","1412"
"0","All Routes","19972","1997Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","799"
"0","All Routes","19973","1997Q3","TMQ01C1","Visitors to Ireland","Thousand","1932"
"0","All Routes","19973","1997Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1016"
"0","All Routes","19974","1997Q4","TMQ01C1","Visitors to Ireland","Thousand","1040"
"0","All Routes","19974","1997Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","656"
